brand,name,warranty,flash,read,write,cap,price,price_per_gb
金士頓,金士頓 A400 240G,三,TLC,500,450,240,2600,10.833333333333334
金士頓,金士頓 A400 480G,三,TLC,500,450,480,4588,9.558333333333334
金士頓SSDNow,"金士頓SSDNow UV400 240G雞年限定版(含升級套件組)【三年保】, $2988",三,,0,0,240,2988,12.45
金士頓,金士頓 UV400 120G,三,TLC,550,350,120,1650,13.75
金士頓,金士頓 UV400 240G,三,TLC,550,490,240,2630,10.958333333333334
金士頓,金士頓 UV400 240G,三,TLC,550,490,240,2580,10.75
金士頓,金士頓 UV400 480G,三,TLC,550,500,480,4288,8.933333333333334
金士頓,金士頓 UV400 960G,三,TLC,550,500,960,9100,9.479166666666666
金士頓,金士頓 V300 240G,三,MLC,450,450,240,2650,11.041666666666666
金士頓,金士頓 HyperX FURY 120G,三,MLC,500,500,120,1750,14.583333333333334
UMAX,UMAX S300 240G,三,TLC,540,490,240,2299,9.579166666666667
UMAX,UMAX S350 256GB ,三,,560,500,256,2588,10.109375
SanDisk,SanDisk X400 128G,五,TLC,540,340,128,1770,13.828125
SanDisk,SanDisk X400 256G,五,TLC,540,520,256,2990,11.6796875
SanDisk,SanDisk X400 512G,五,TLC,540,520,512,5199,10.154296875
SanDisk,SanDisk X400 1TB,五,TLC,540,520,1000,10150,10.15
Liteon,Liteon MUIII 240G,三,TLC,555,470,240,2250,9.375
Liteon,Liteon MUIII Rock 120G,三,MLC,530,290,120,1690,14.083333333333334
Liteon,Liteon MUIII Rock 240G,三,MLC,530,420,240,2750,11.458333333333334
Intel,Intel DC S3520系列 150G,五,MLC,450,380,150,2999,19.993333333333332
Intel,Intel 540s系列 480G,五,TLC,560,480,480,5500,11.458333333333334
威剛,威剛 Ultimate SU800 128G,三,TLC,560,520,128,1580,12.34375
威剛,威剛 Ultimate SU800 256G,三,TLC,560,520,256,2750,10.7421875
威剛,威剛 Ultimate SU800 512G,三,TLC,560,520,512,4899,9.568359375
創見,創見 230S系列 128G,三,TLC,560,520,128,1749,13.6640625
創見,創見 230S系列 128G,三,TLC,560,520,128,1550,12.109375
創見,創見 230S系列 256G,三,TLC,560,520,256,2849,11.12890625
創見,創見 230S系列 256G,三,TLC,560,520,256,2688,10.5
創見,創見 230S系列 512G,三,TLC,560,520,512,5299,10.349609375
創見,創見 230S系列 512G,三,TLC,560,520,512,4888,9.546875
創見,創見 340K系列 128G,三,MLC,520,150,128,1680,13.125
創見,創見 340K系列 128G,三,MLC,520,150,128,1599,12.4921875
創見,創見 340K系列 256G,三,MLC,520,290,256,2900,11.328125
創見,創見 370S系列 128G,三,MLC,570,170,128,1850,14.453125
創見,創見 370S系列 256G,三,MLC,570,310,256,3570,13.9453125
創見,創見 370S系列 512G,,MLC,570,470,512,5888,11.5
創見,創見 370S系列 1TB,三,MLC,560,460,1000,12600,12.6
Toshiba,Toshiba A100 240G,三,TLC,550,480,240,2650,11.041666666666666
美光,美光 MX300 275G,三,TLC,530,500,275,2750,10.0
美光,美光 MX300 525G,三,TLC,530,510,525,4399,8.379047619047618
美光,美光 MX300 525G,三,TLC,530,510,525,4250,8.095238095238095
美光,美光 MX300 1050G,三,TLC,530,510,1050,8950,8.523809523809524
美光,美光 MX300 1050G,三,TLC,530,510,1050,8500,8.095238095238095
美光,美光 MX300 2050G,三,TLC,530,510,2050,18400,8.975609756097562
WD,WD Green 120G(綠標),三,TLC,540,430,120,1499,12.491666666666667
WD,WD Blue 250G(藍標),三,TLC,540,500,250,2499,9.996
WD,WD Blue 500G(藍標),三,TLC,545,525,500,4650,9.3
WD,WD Blue 1TB(藍標),三,TLC,545,525,1000,8800,8.8
